event_date,event_time,event_name,user_pseudo_id,session_id,traffic_source,traffic_medium,campaign_name,country,city,device_category,transaction_id,purchase_revenue
20210131,2021-01-31 05:05:10.766593 UTC,page_view,1026454.4271112504,661084800,google,organic,(organic),United States,San Carlos,mobile,,
20210131,2021-01-31 05:05:29.243877 UTC,scroll,1026454.4271112504,661084800,google,organic,(organic),United States,San Carlos,mobile,,
20210131,2021-01-31 05:05:15.781635 UTC,page_view,1026454.4271112504,661084800,google,organic,(organic),United States,San Carlos,mobile,,
20210131,2021-01-31 05:05:30.073506 UTC,user_engagement,1026454.4271112504,661084800,google,organic,(organic),United States,San Carlos,mobile,,
20210131,2021-01-31 05:05:10.766593 UTC,session_start,1026454.4271112504,661084800,google,organic,(organic),United States,San Carlos,mobile,,
20210131,2021-01-31 05:05:10.766593 UTC,first_visit,1026454.4271112504,661084800,google,organic,(organic),United States,San Carlos,mobile,,
20210131,2021-01-31 16:47:47.188347 UTC,session_start,1029692.9551304564,9367134771,google,organic,(organic),United States,New York,mobile,,
20210131,2021-01-31 16:47:47.188347 UTC,first_visit,1029692.9551304564,9367134771,google,organic,(organic),United States,New York,mobile,,
20210131,2021-01-31 16:47:52.202517 UTC,page_view,1029692.9551304564,9367134771,google,organic,(organic),United States,New York,mobile,,
20210131,2021-01-31 16:47:47.188347 UTC,page_view,1029692.9551304564,9367134771,google,organic,(organic),United States,New York,mobile,,
20210131,2021-01-31 16:47:52.464586 UTC,user_engagement,1029692.9551304564,9367134771,google,organic,(organic),United States,New York,mobile,,
20210131,2021-01-31 04:21:36.873827 UTC,user_engagement,1031480.8260955562,7136977879,google,organic,(organic),United States,(not set),desktop,,
20210131,2021-01-31 04:21:27.624268 UTC,page_view,1031480.8260955562,7136977879,google,organic,(organic),United States,(not set),desktop,,
20210131,2021-01-31 04:21:22.613427 UTC,first_visit,1031480.8260955562,7136977879,google,organic,(organic),United States,(not set),desktop,,
20210131,2021-01-31 04:21:22.613427 UTC,page_view,1031480.8260955562,7136977879,google,organic,(organic),United States,(not set),desktop,,
20210131,2021-01-31 04:21:22.613427 UTC,session_start,1031480.8260955562,7136977879,google,organic,(organic),United States,(not set),desktop,,
20210131,2021-01-31 08:04:00.052555 UTC,session_start,1034924.6134685361,6522151802,(direct),(none),(direct),United States,Boston,mobile,,
20210131,2021-01-31 08:04:00.052555 UTC,first_visit,1034924.6134685361,6522151802,(direct),(none),(direct),United States,Boston,mobile,,
20210131,2021-01-31 08:04:05.394754 UTC,page_view,1034924.6134685361,6522151802,(direct),(none),(direct),United States,Boston,mobile,,
20210131,2021-01-31 08:04:00.052555 UTC,page_view,1034924.6134685361,6522151802,(direct),(none),(direct),United States,Boston,mobile,,
20210131,2021-01-31 08:52:31.368899 UTC,session_start,1037360.4939379761,880436251,google,organic,(organic),Canada,(not set),desktop,,
20210131,2021-01-31 08:52:36.481856 UTC,page_view,1037360.4939379761,880436251,google,organic,(organic),Canada,(not set),desktop,,
20210131,2021-01-31 08:52:31.368899 UTC,first_visit,1037360.4939379761,880436251,google,organic,(organic),Canada,(not set),desktop,,
20210131,2021-01-31 08:52:31.368899 UTC,page_view,1037360.4939379761,880436251,google,organic,(organic),Canada,(not set),desktop,,
20210131,2021-01-31 10:59:10.765848 UTC,user_engagement,1037755.3882512534,7770036375,google,organic,(organic),United States,New York,mobile,,
20210131,2021-01-31 10:59:16.117655 UTC,page_view,1037755.3882512534,7770036375,google,organic,(organic),United States,New York,mobile,,
20210131,2021-01-31 10:58:54.295924 UTC,session_start,1037755.3882512534,7770036375,google,organic,(organic),United States,New York,mobile,,
20210131,2021-01-31 11:00:36.059300 UTC,user_engagement,1037755.3882512534,7770036375,google,organic,(organic),United States,New York,mobile,,
20210131,2021-01-31 10:58:54.295924 UTC,page_view,1037755.3882512534,7770036375,google,organic,(organic),United States,New York,mobile,,
20210131,2021-01-31 10:58:58.266350 UTC,page_view,1037755.3882512534,7770036375,google,organic,(organic),United States,New York,mobile,,
20210131,2021-01-31 10:58:54.295924 UTC,first_visit,1037755.3882512534,7770036375,google,organic,(organic),United States,New York,mobile,,
20210131,2021-01-31 09:55:57.747233 UTC,scroll,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:56:30.438608 UTC,user_engagement,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:46:00.877538 UTC,page_view,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:52:15.842353 UTC,user_engagement,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:46:35.762041 UTC,user_engagement,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 10:01:59.639815 UTC,user_engagement,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:55:00.193588 UTC,page_view,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:53:25.539588 UTC,scroll,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 10:02:04.994298 UTC,page_view,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:52:01.019779 UTC,page_view,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:56:48.029114 UTC,user_engagement,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:56:53.237982 UTC,page_view,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:57:40.527610 UTC,scroll,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:51:25.844093 UTC,page_view,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 10:01:39.030511 UTC,user_engagement,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 10:02:43.468504 UTC,scroll,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:54:55.144770 UTC,user_engagement,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:46:05.894234 UTC,page_view,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:56:35.671825 UTC,page_view,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:46:00.877538 UTC,session_start,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 10:01:44.646347 UTC,page_view,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:46:00.877538 UTC,first_visit,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 09:52:21.056325 UTC,page_view,1044444.3778737727,8943035192,<Other>,<Other>,<Other>,United States,(not set),mobile,,
20210131,2021-01-31 21:43:52.472208 UTC,page_view,1059953.4638722992,8721537996,(direct),(none),(direct),France,Paris,mobile,,
20210131,2021-01-31 21:37:48.327571 UTC,first_visit,1059953.4638722992,8721537996,(direct),(none),(direct),France,Paris,mobile,,
20210131,2021-01-31 21:37:48.327571 UTC,page_view,1059953.4638722992,8721537996,(direct),(none),(direct),France,Paris,mobile,,
20210131,2021-01-31 21:37:48.327571 UTC,session_start,1059953.4638722992,8721537996,(direct),(none),(direct),France,Paris,mobile,,
20210131,2021-01-31 21:37:53.340852 UTC,page_view,1059953.4638722992,8721537996,(direct),(none),(direct),France,Paris,mobile,,
20210131,2021-01-31 21:45:46.571860 UTC,user_engagement,1059953.4638722992,8721537996,(direct),(none),(direct),France,Paris,mobile,,
20210131,2021-01-31 21:43:52.472208 UTC,scroll,1059953.4638722992,8721537996,(direct),(none),(direct),France,Paris,mobile,,
20210131,2021-01-31 21:43:40.787538 UTC,user_engagement,1059953.4638722992,8721537996,(direct),(none),(direct),France,Paris,mobile,,
20210131,2021-01-31 21:43:46.623954 UTC,view_promotion,1059953.4638722992,8721537996,(direct),(none),(direct),France,Paris,mobile,(not set),
20210131,2021-01-31 21:43:46.623954 UTC,page_view,1059953.4638722992,8721537996,(direct),(none),(direct),France,Paris,mobile,,
20210131,2021-01-31 21:37:53.340852 UTC,scroll,1059953.4638722992,8721537996,(direct),(none),(direct),France,Paris,mobile,,
20210131,2021-01-31 21:43:47.258394 UTC,user_engagement,1059953.4638722992,8721537996,(direct),(none),(direct),France,Paris,mobile,,
20210131,2021-01-31 15:53:05.441164 UTC,page_view,1069458.5921197239,9965397821,(direct),(none),(direct),China,Hangzhou,mobile,,
20210131,2021-01-31 15:53:05.441164 UTC,session_start,1069458.5921197239,9965397821,(direct),(none),(direct),China,Hangzhou,mobile,,
20210131,2021-01-31 15:53:10.357829 UTC,page_view,1069458.5921197239,9965397821,(direct),(none),(direct),China,Hangzhou,mobile,,
20210131,2021-01-31 15:53:05.441164 UTC,first_visit,1069458.5921197239,9965397821,(direct),(none),(direct),China,Hangzhou,mobile,,
20210131,2021-01-31 03:09:18.149504 UTC,session_start,1070234.6499880921,2727127733,(direct),(none),(direct),United States,Marietta,desktop,,
